Time	gauge_0	gauge_1	gauge_2	gauge_3	gauge_4	gauge_5	gauge_6	gauge_7	gauge_8	gauge_9	gauge_10
-1	400	455	510	565	620	675	730	785	840	895	950
-2	-9.69	-9.69	-9.43659	-9.63161	-9	-6.25	-3.5	-2.5	-2.5	-2.5	-2.5
-3	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
0.01980061375	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.02726
0.03750901153	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.02734
0.06125717709	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.02747
0.08221034718	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.02757
0.1017526404	-1	-1	-1	-1	-1	-1	-1.00001	-1	-1	-1	-1.02765
0.1203808343	-1	-1	-1	-1	-1	-1	-1.00001	-1	-1	-1	-1.02772
0.1384015361	-1	-1	-1	-1	-1	-1	-1.00001	-1	-1	-1	-1.02777
0.1602324581	-1	-1	-1	-1	-1	-1	-1.00001	-1	-1	-1	-1.02782
0.1814100857	-1	-1	-1	-1	-1	-1	-1.00001	-1	-1	-1	-1.02786
0.2019874083	-1	-1	-1	-1	-1	-1	-1.00002	-1	-1	-1	-1.02789
0.218149097	-1	-1	-1	-1	-1	-1	-1.00002	-1	-1	-1	-1.0279
0.2418507264	-1	-1	-1	-1	-1	-1	-1.00002	-1	-1	-1	-1.02791
0.2611704379	-1	-1	-1	-1	-1	-1	-1.00003	-1	-1	-1	-1.02791
0.2801823645	-1	-1	-1	-1	-1	-1	-1.00003	-1	-1	-1	-1.0279
0.2990632523	-1	-1	-1	-1	-1	-1	-1.00003	-1	-1	-1	-1.02788
0.3213895576	-1	-1	-1	-1	-1	-1	-1.00004	-1	-1	-1	-1.02786
0.3397572981	-1	-1	-1	-1	-1	-1	-1.00004	-1	-1	-1	-1.02783
0.3611947257	-1	-1	-1	-1	-1	-1	-1.00005	-1	-1	-1	-1.0278
0.378545385	-1	-1	-1	-1	-1	-1	-1.00005	-1	-1	-1	-1.02776
0.3986823915	-1	-1	-1	-1	-1	-1	-1.00006	-1	-1	-1	-1.02772
0.4215605611	-1	-1	-1	-1	-1	-1	-1.00006	-1	-1	-1	-1.02766
0.4403860265	-1	-1	-1	-1	-1	-1	-1.00007	-1	-1	-1	-1.02762
0.4592114918	-1	-1	-1	-1	-1	-1	-1.00008	-1	-1	-1	-1.02756
0.4811745347	-1	-1	-1	-1	-1	-1	-1.00008	-1	-1	-1	-1.0275
0.5	-1	-1	-1	-1	-1	-1	-1.00009	-1	-1	-1	-1.02744
0.5205182073	-1	-1	-1	-1	-1	-1	-1.0001	-1	-1	-1	-1.02738
0.54087693	-1	-1	-1	-1	-1	-1	-1.0001	-1	-1	-1	-1.02731
0.5611074771	-1	-1	-1	-1	-1	-1	-1.00011	-1	-1	-1	-1.02724
0.5813196328	-1	-1	-1	-1	-1	-1	-1.00012	-1	-1	-1	-1.02717
0.5986238592	-1	-1	-1	-1	-1	-1	-1.00013	-1	-1	-1	-1.02711
0.6186505049	-1	-1	-1	-1	-1	-1	-1.00014	-1	-1	-1	-1.02704
0.6412644731	-1	-1	-1	-1	-1	-1	-1.00014	-1	-1	-1	-1.02696
0.6605362168	-1	-1	-1	-1	-1	-1	-1.00015	-1	-1	-1	-1.02689
0.6795225113	-1	-1	-1	-1	-1	-1	-1.00016	-1	-1	-1	-1.02683
0.7008853745	-1	-1	-1	-1	-1	-1	-1.00017	-1	-1	-1	-1.02675
0.7193192105	-1	-1	-1	-1	-1	-1	-1.00018	-1	-1	-1	-1.02668
0.7402037984	-1.00001	-1	-1	-1	-1	-1	-1.00019	-1	-1	-1	-1.02661
0.7610704082	-1.00001	-1	-1	-1	-1	-1	-1.0002	-1	-1	-1	-1.02654
0.7794496075	-1.00001	-1	-1	-1	-1	-1	-1.0002	-1	-1	-1	-1.02647
0.8006884652	-1.00001	-1	-1	-1	-1	-1	-1.00021	-1	-1	-1	-1.0264
0.8195422591	-1.00001	-1	-1	-1	-1	-1	-1.00022	-1	-1	-1	-1.02633
0.841089452	-1.00001	-1	-1	-1	-1	-1	-1.00023	-1	-1	-1	-1.02626
0.8596693408	-1.00001	-1	-1	-1	-1	-1	-1.00023	-1	-1	-1	-1.02619
0.8808513271	-1.00001	-1	-1	-1	-1	-1	-1.00024	-1	-1	-1	-1.02612
0.8993855651	-1.00001	-1	-1	-1	-1	-1	-1.00024	-1	-1	-1	-1.02606
0.9205675514	-1.00001	-1	-1	-1	-1	-1	-1.00025	-1	-1	-1	-1.02599
0.9395091353	-1.00001	-1	-1	-1	-1	-1	-1.00025	-0.999999	-1	-1	-1.02592
0.9587562286	-1.00001	-1	-1	-1	-1	-1	-1.00026	-0.999999	-1	-1	-1.02586
0.9807529067	-1.00002	-1	-1	-1	-1	-1	-1.00026	-0.999999	-1	-1	-1.02578
1	-1.00002	-1	-1	-1	-1	-1	-1.00027	-0.999999	-1	-1	-1.02572
1.020693277	-1.00002	-1	-1	-1	-1	-1	-1.00027	-0.999999	-1	-1	-1.02565
1.041404062	-1.00002	-1	-1	-1	-1	-1	-1.00028	-0.999999	-1	-1	-1.02559
1.059252851	-1.00002	-1	-1	-1	-1	-1	-1.00028	-0.999999	-1	-1	-1.02553
1.080099	-1.00002	-1	-1	-1	-1	-1	-1.00029	-0.999999	-1	-1	-1.02546
1.100923252	-1.00002	-1	-1	-1	-1	-1	-1.00029	-0.999999	-1	-1	-1.0254
1.12139649	-1.00003	-1	-1	-1	-1	-1	-1.0003	-0.999999	-1	-1	-1.02534
1.138582334	-1.00003	-1	-1	-1	-1	-1	-1.0003	-0.999999	-1	-1	-1.02528
1.161034728	-1.00003	-1	-1	-1	-1	-1	-1.00031	-0.999999	-1	-1	-1.02521
1.180345394	-1.00003	-1	-1	-1	-1	-1	-1.00031	-0.999999	-1	-1	-1.02516
1.199374999	-1.00003	-1	-1	-1	-1	-1	-1.00031	-0.999999	-1	-1	-1.0251
1.220749713	-1.00004	-1	-1	-1	-1	-1	-1.00032	-0.999999	-1	-1	-1.02504
1.239114038	-1.00004	-1	-1	-1	-1	-1	-1.00032	-0.999999	-1	-1	-1.02499
1.259722415	-1.00004	-1	-1	-1	-1	-1	-1.00033	-0.999999	-1	-1	-1.02493
1.279872936	-1.00004	-1	-1	-1	-1	-1	-1.00033	-0.999999	-1	-1	-1.02488
1.299626627	-1.00005	-1	-1	-1	-1	-1	-1.00034	-0.999999	-1	-1	-1.02482
1.319022525	-1.00005	-1	-1	-1	-1	-1	-1.00034	-0.999999	-1	-1	-1.02477
1.340321775	-1.00005	-1	-1	-1	-1	-1	-1.00034	-0.999999	-1	-1	-1.02472
1.361006959	-1.00006	-1	-1	-1	-1	-1	-1.00034	-0.999999	-1	-1	-1.02467
1.380993383	-1.00006	-1	-1	-1	-1	-1	-1.00035	-0.999999	-1	-1	-1.02462
1.400297486	-1.00006	-1	-1	-1	-1	-1	-1.00035	-0.999999	-1	-1	-1.02457
1.419066646	-1.00007	-1	-1	-1	-1	-1	-1.00035	-0.999999	-1	-1	-1.02453
1.439339893	-1.00007	-1	-1	-1	-1	-1	-1.00035	-0.999999	-1	-1	-1.02448
1.459054427	-1.00007	-1	-1	-1	-1	-1	-1.00035	-0.999999	-1	-1	-1.02444
1.479892799	-1.00008	-1	-1	-1	-1	-1	-1.00035	-0.999999	-1	-1	-1.02439
1.5	-1.00008	-1	-1	-1	-1	-1	-1.00035	-0.999999	-1	-1	-1.02435
1.51969275	-1.00009	-1	-1	-1	-1	-1	-1.00034	-0.999999	-1	-1	-1.02431
1.539220698	-1.00009	-1	-1	-1	-1	-1	-1.00034	-0.999999	-1	-1	-1.02427
1.560425613	-1.0001	-1	-1	-1	-1	-1	-1.00034	-0.999998	-1	-1	-1.02423
1.579844562	-1.0001	-1	-1	-1	-1	-1	-1.00033	-0.999998	-1	-1	-1.0242
1.59926351	-1.00011	-1	-1	-1	-1	-1	-1.00033	-0.999998	-1	-1	-1.02417
1.620541554	-1.00011	-1	-1	-1	-1	-1	-1.00032	-0.999998	-1	-1	-1.02413
1.640046427	-1.00012	-1	-1	-1	-1	-1	-1.00032	-0.999998	-1	-1	-1.0241
1.65948924	-1.00013	-1	-1	-1	-1	-1	-1.00031	-0.999998	-1	-1	-1.02407
1.680586607	-1.00013	-1	-1	-1	-1	-1	-1.0003	-0.999998	-1	-1	-1.02405
1.699766371	-1.00014	-1	-1	-1	-1	-1	-1.00029	-0.999998	-1	-1	-1.02402
1.720591825	-1.00015	-1	-1	-1	-1	-1	-1.00029	-0.999998	-1	-1	-1.024
1.739681825	-1.00016	-1	-1	-1	-1	-1	-1.00028	-0.999998	-1	-1	-1.02398
1.760614259	-1.00016	-1	-1	-1	-1	-1	-1.00027	-0.999998	-1	-1	-1.02395
1.779927674	-1.00017	-1	-1	-1	-1	-1	-1.00026	-0.999998	-1	-1	-1.02394
1.799483477	-1.00018	-1	-1	-1	-1	-1	-1.00025	-0.999998	-1	-1	-1.02392
1.819327749	-1.00019	-1	-1	-1	-1	-1	-1.00023	-0.999998	-1	-1	-1.02391
1.839463276	-1.0002	-1	-1	-1	-1	-1	-1.00022	-0.999998	-1	-1	-1.0239
1.859854453	-1.00021	-1	-1	-1	-1	-1	-1.00021	-0.999998	-1	-1	-1.02389
1.880409134	-1.00022	-1	-1	-1	-1	-1	-1.0002	-0.999998	-1	-1	-1.02388
1.899095206	-1.00022	-1	-1	-1	-1	-1	-1.00018	-0.999998	-1	-1	-1.02387
1.919649887	-1.00024	-1	-1	-1	-1	-1	-1.00017	-0.999998	-1	-1	-1.02387
1.940204567	-1.00025	-1	-1	-1	-1	-1	-1.00015	-0.999997	-1	-1	-1.02387
1.960759247	-1.00026	-1	-1	-1	-1	-1	-1.00014	-0.999997	-1	-1	-1.02387
1.97944532	-1.00027	-1	-1	-1	-1	-1	-1.00012	-0.999997	-1	-1	-1.02387
2	-1.00028	-1	-1	-1	-1	-1	-1.00011	-0.999997	-1	-1	-1.02387
2.01940411	-1.00029	-1	-1	-1	-1	-1	-1.00009	-0.999997	-1	-1	-1.02387
2.040837893	-1.0003	-1	-1	-1	-1	-1	-1.00007	-0.999997	-1	-1	-1.02388
2.060293914	-1.00032	-1	-1	-1	-1	-1	-1.00006	-0.999997	-1	-1	-1.02389
2.079697588	-1.00033	-1	-1	-1	-1	-1	-1.00004	-0.999997	-1	-1	-1.02389
2.100921946	-1.00034	-1	-1	-1	-1	-1	-1.00002	-0.999997	-1	-1	-1.0239
2.1200893	-1.00036	-1	-1	-1	-1	-1	-1	-0.999997	-1	-1	-1.02392
2.13918029	-1.00037	-1	-1	-1	-1	-1	-0.999982	-0.999997	-1	-1	-1.02393
2.160180379	-1.00038	-1	-1	-1	-1	-1	-0.999961	-0.999997	-1	-1	-1.02394
2.179260139	-1.0004	-1	-1	-1	-1	-1	-0.999942	-0.999997	-1	-1	-1.02396
2.200136698	-1.00042	-1	-1	-1	-1	-1	-0.99992	-0.999997	-1	-1	-1.02397
2.219115388	-1.00043	-1	-1	-1	-1	-1	-0.9999	-0.999996	-1	-1	-1.02399
2.239991947	-1.00045	-1	-1	-1	-1	-1	-0.999877	-0.999996	-1	-1	-1.02401
2.260955431	-1.00046	-1	-1	-1	-1	-1	-0.999854	-0.999996	-1	-1	-1.02403
