Hs	Hs_L0	WL
0.3553498801925629	0.002591725621917268	-0.1285008142348225
0.32499369580948123	0.0006049908364734505	-0.010099772857412148
0.3399744631177629	0.0006998049846227455	0.069636839401511
0.32564505082019307	0.0006442803316322275	0.10826695245368967
0.35720303537064746	0.0007209220013880924	0.07936878594084718
0.3543989198901109	0.0007011691197572628	-0.008564565462009455
0.3543323658339984	0.0006870867991332339	-0.11840464752991764
0.3584046861665888	0.0007377418397588615	-0.2237556125103488
0.3869955177696427	0.0007810504267110091	-0.30119655635981246
0.3774613933086854	0.0008710647537892738	-0.343652686978416
0.36984360292304974	0.0008693636922935965	-0.3560055970067495
0.3488415521383219	0.0007322056083086929	-0.3370301903331523
0.3560956571262917	0.0007767399928413593	-0.3006544949437959
0.3389078777195608	0.0007113551904730177	-0.26712280788667897
0.3341742763578311	0.0007014195350348667	-0.2485564528890123
0.3204882607022778	0.0007533477812210674	-0.2570262495137854
0.3541653019122475	0.0022201197819301296	-0.2931307627427735
0.33641493521274995	0.0008349139259474388	-0.3563158558603341
0.3472031664193357	0.0008927374863061267	-0.4267616515189978
0.34886430787886785	0.0008504188701676815	-0.47734398173279047
0.35277872872340127	0.0006840741374283901	-0.5098784479582186
0.336215951910239	0.0008644868848974094	-0.5128364128758136
0.36776986121902416	0.0009456190876073199	-0.44249987921694967
0.346321601058622	0.0017982083131889987	-0.3240088362805835
0.3423959794831184	0.0016697765309986123	-0.17784739433226449
0.370153295763692	0.0009854350165788698	-0.03125416932357794
0.33131374860806545	0.0007787944458714043	0.08400285991646683
0.3411491325004264	0.0009719348504285652	0.14955997424463163
0.34371837452046183	0.0009468848224958277	0.1416201679596938
0.3060847187537705	0.0008575628565748939	0.07863682257628923
0.3267685144620199	0.0009309644286667233	-0.02849264956737585
0.36746319785486553	0.0010122977142551339	-0.14290410006447019
0.36373117431687646	0.0008239075290348843	-0.2531352401795246
0.36690840909952616	0.0010804575738044768	-0.3354540895625746
0.4045630221801308	0.0011913414098862509	-0.37902141689016844
0.36800194704194056	0.0007574968852928831	-0.3681150038997387
0.35333616382169997	0.001074884626250882	-0.34570201051604954
0.3348541221237866	0.0009381665921563275	-0.31725891727506195
0.39474346685425277	0.0011815594155662372	-0.2912789141922616
0.3898508850248563	0.0012440457669685634	-0.277876517077452
0.422479029253413	0.0012645784333600199	-0.28639034625577153
0.41423881179911026	0.0012601566892654161	-0.3299489519180199
0.43360617982117616	0.000963912439947518	-0.4068645002546738
0.4035002486509865	0.0008634573222161024	-0.4845183586046282
0.4674564355857866	0.0011190691022847454	-0.5269494227133649
0.41736782600064054	0.0013741330311167813	-0.5549012525092358
0.4412287760863331	0.0014526923201275462	-0.506704143408431
0.45619334713450665	0.001235523648489289	-0.39930320995315327
0.4350852433381653	0.0010227223362022678	-0.2646813138524884
0.4631738902860388	0.00152494395145813	-0.10524274337952733
0.4379143934629147	0.0011063091346407007	0.03434274984239849
0.4434648234518644	0.0011603399592732876	0.13742704921005355
0.4873369259926902	0.0012530529222461622	0.16508976982673929
0.4487261790230554	0.0011946144873643228	0.13143673277048507
0.4254646414259544	0.0010748571554226045	0.03845216342733693
0.466750114808035	0.0011791572127223407	-0.07986015572683058
0.521960670837572	0.0014136434835184245	-0.2041022312221621
0.5162993229667331	0.0014709382420704646	-0.3103758741706919
0.5040432754174056	0.0012733714355422704	-0.3790743860437651
0.47277008740132	0.0013245681401729368	-0.4068047926263034
0.4627404812940601	0.001296468019073517	-0.39663132622724007
0.49388264945803617	0.001383719570864049	-0.350357375247178
0.5216176683476362	0.0015109615943094614	-0.3046285389330379
0.5380289321761584	0.0015584998409289205	-0.2822832732965743
0.5391821566940064	0.0015361315005527247	-0.27528562193596073
0.5070937232484151	0.0014447114622461968	-0.30204041855407837
0.5978781438931833	0.00173186409954497	-0.36237832664240344
0.562281475864973	0.0015489884595488851	-0.44013234485248276
0.5438969220782619	0.0015754975538437466	-0.5176934301586549
0.5982710778813266	0.0016761864383265006	-0.5610824503237488
0.6411336003372934	0.0017364035009135032	-0.5518350266131904
0.5948436371242725	0.0018684191166082919	-0.47093654564391585
0.5768384861147356	0.0018991708704169273	-0.344687621749312
0.6543990834015714	0.0018955874050495423	-0.18897844363680605
0.6082588320560703	0.001941003225354613	-0.041276929819471064
0.5785851347658997	0.0011447157620407954	0.08869662386877053
0.563356282283281	0.0011596151394577506	0.16085332819232434
0.5977521231791828	0.0020295236201879462	0.16653240410290593
0.62362149586488	0.001927842250888088	0.10652878234893848
0.5958282260017977	0.0015862346884061788	0.0001497853295475693
0.544995054305369	0.0016048801812838542	-0.126837185273164
0.5542323758186604	0.001552802444200706	-0.25355009093500414
0.5601543029035727	0.001649520545349948	-0.3481465313529739
0.6764816640409577	0.002091252374295656	-0.39916870666146664
0.6169648667984604	0.0013715212969585906	-0.4094046588956388
0.5922302775580822	0.0018016248709506711	-0.3918688098287042
0.6349094379482545	0.0014381683592651089	-0.352469121415492
0.6310839135385573	0.0014563474927812858	-0.31542149521117935
0.6272059278842341	0.0018773738688984995	-0.28137662283403486
0.6223001722045511	0.002017206002967586	-0.2832771868565338
0.625723580412396	0.002060119124256624	-0.3252560042008774
0.6554431526920339	0.0015977593946499182	-0.385539358072446
0.608672809657649	0.0020351714314684765	-0.46749821688537097
0.6293753872955467	0.0023713645290551577	-0.5378505765048054
0.7457443060524649	0.0018507867551286242	-0.5603198791300272
0.8013047391853027	0.0025169187320563994	-0.5118352448387746
0.740047381188658	0.0019028283804067346	-0.41002775908152245
0.7324404754098561	0.001817769334350513	-0.2696418326613248
0.6955619691067302	0.0018838136663307278	-0.11322245991635427
0.7605046267129597	0.0020950590420922865	0.029047164486836863
0.6796794146161493	0.001778403026728904	0.1198513432074435
0.6175025919882837	0.001615715372555605	0.15068857368642696
0.6520235229569129	0.0018576168745211195	0.13031050622193163
0.5905235039034562	0.0016544799261587612	0.06443758820757495
0.637713697583871	0.0017567912165950105	-0.05589277303001339
0.7065951443529824	0.001946547718813495	-0.19616345583705552
